Key,Russian,English,German,Spanish,Ukrainian
UI.Default,,,,,
UI.Menu.Continue,ПРОДОЛЖИТЬ,сontinue,,,
UI.Menu.NewGame,НОВАЯ ИГРА,new game,,,
UI.Menu.Options,НАСТРОЙКИ,options,,,
UI.Menu.Credits,АВТОРЫ,credits,,,
UI.Menu.Quit,ВЫХОД,quit,,,
UI.CharacterMenu.Rank.1,Никто,Nobody,,,
UI.CharacterMenu.Rank.2,Новичок,Newbie,,,
UI.CharacterMenu.Rank.3,Ученик,Apprentice,,,
UI.CharacterMenu.Rank.4,Шарлатан,Сharlatan,,,
UI.CharacterMenu.Rank.5,Фокусник,Illusionist,,,
UI.CharacterMenu.Rank.6,Шаман,Shaman,,,
UI.CharacterMenu.Rank.7,Мистик,Mystic,,,
UI.CharacterMenu.Rank.8,Ведьмак,Witcher,,,
UI.CharacterMenu.Rank.9,Заклинатель,Wizard,,,
UI.CharacterMenu.Rank.10,Волшебник,Mage,,,
UI.CharacterMenu.Rank.11,Чародей,Sorcerer,,,
UI.CharacterMenu.Rank.12,Демонолог,Demonologist,,,
UI.CharacterMenu.Rank.13,Заклинатель Стихий,Elemental Mage,,,
UI.CharacterMenu.Rank.14,Экзорцист,Exorcist,,,
UI.CharacterMenu.Rank.15,Чудотворец,Thaumaturge,,,
UI.CharacterMenu.Rank.16,Хранитель завесы,Veil Keeper,,,
UI.CharacterMenu.Rank.17,Полубог,Half-god,,,
UI.CharacterMenu.Rank.18,Повелитель Демонов,Demon Lord,,,
UI.CharacterMenu.Rank.19,Архимаг,Archmage,,,
UI.CharacterMenu.Rank.20,Первый волшебник,First mage,,,
UI.CharacterMenu.Level,Уровень:,Level:,,,
UI.CharacterMenu.Exp,Опыт:,Exp:,,,
UI.CharacterMenu.SkillPoints,Очки Навыков:,Skill Points:,,,
UI.CharacterMenu.Skills.Knowledge,Знание,Knowledge,,,
UI.CharacterMenu.Skills.Wisdom,Мудрость,Wisdom,,,
UI.CharacterMenu.Skills.Spirit,Дух,Spirit,,,
UI.CharacterMenu.Skills.Faith,Вера,Faith,,,
UI.CharacterMenu.Skills.Demons,Демоны,Demons,,,
UI.CharacterMenu.Skills.Alchemy,Алхимия,Alchemy,,,
UI.CharacterMenu.Description.Knowledge,"Знание - навык отвечает за книжные и теоритические знания мага о магических искууствах и истории мира. Заклинания чародея с выскоим знанием будуть сильнее за счет того, что он освоил их теоритические составляющии лучше других. Благодаря знаниям о магичекой завесе волшебник также буде расходовать меньше магической силы на перемещение через Завесу.",UI.CharacterMenu.Description.Knowledge,,,
UI.CharacterMenu.Description.Extra.1.Knowledge,Повышает урон магической стрелой на,UI.CharacterMenu.Description.Extra.1.Knowledge,,,
UI.CharacterMenu.Description.Extra.2.Knowledge,Открывает доступ к новым заклинаниям магии Рун.,UI.CharacterMenu.Description.Extra.2.Knowledge,,,
UI.CharacterMenu.Description.Wisdom,"Мудрость - навык отвечает за умение использовать накопленный опыт об окружащем мире, умение замечать детали и принимать осмысленные решения, мудрый чародей будет иметь больший запас магической силы, а также восстанавливать запас своей магической силы в реальном времени не требуя длительного отдыха.",UI.CharacterMenu.Description.Wisdom,,,
UI.CharacterMenu.Description.Extra.1.Wisdom,Повышает максимальный запас маны на,UI.CharacterMenu.Description.Extra.1.Wisdom,,,
UI.CharacterMenu.Description.Extra.2.Wisdom,Открывает доступ к новым заклинаниям магии Природы.,UI.CharacterMenu.Description.Extra.2.Wisdom,,,
UI.CharacterMenu.Description.Spirit,Дух - отвечает за духовною силу персонажа и за умение использовать возможности собственного тела на максимум. Магический щит волшебника с высоким духом будет сильнее. Также за счет глубокий познаний собственного тела он сможет восстанавливать свою духовную энергию в реальном времени не требуя длительного отдыха.,UI.CharacterMenu.Description.Spirit,,,
UI.CharacterMenu.Description.Extra.1.Spirit,Повышает максимальный духовной силы на,UI.CharacterMenu.Description.Extra.1.Spirit,,,
UI.CharacterMenu.Description.Extra.2.Spirit,Открывает доступ к новым заклинаниям магии Духа.,UI.CharacterMenu.Description.Extra.2.Spirit,,,
UI.CharacterMenu.Description.Faith,"Вера - отвечает за знаниия о божествах этого мира, а также за поддержание контакта с ними. Глубоковерующий волшебник верит в чудеса больше других, а значит и чудеса будуть случаться с ним чаще. Также за счет божественного вмешательства исцеляющие и вдохноловающие эфекты чародея будуть работать с лучшей эффективностью.",UI.CharacterMenu.Description.Faith,,,
UI.CharacterMenu.Description.Extra.1.Faith,Повышает шанс возникновения чуда на,UI.CharacterMenu.Description.Extra.1.Faith,,,
UI.CharacterMenu.Description.Extra.2.Faith,Открывает доступ к новым заклинаниям Божестенной магии.,UI.CharacterMenu.Description.Extra.2.Faith,,,
UI.CharacterMenu.Description.Demons,"Демоны - навык отвечает за связь с демоническими созданиями Завесы и за умение находить с ними общий язык. Чародей с выской демонической связью может брать больше силы из Завесы за счет чего получать доступ к уникальным способнастям, а также сможет расскрыть истиную сущность демонических созданий.",UI.CharacterMenu.Description.Demons,,,
UI.CharacterMenu.Description.Extra.1.Demons,Повышает ваши шансы договорится с демонами,UI.CharacterMenu.Description.Extra.1.Demons,,,
UI.CharacterMenu.Description.Extra.2.Demons,Открывает доступ к новым заклинаниям магии Завесы.,UI.CharacterMenu.Description.Extra.2.Demons,,,
UI.CharacterMenu.Description.Alchemy,"Алхимия - навык отвечает за умение создавать алхимические снадобья, а также за спектр доступных алхимических преобразований. Знание о сущности артефактов и снадобий будут более выдающимися. Чародей с высоким уровнем алхимии сможет варить сильнейшие зелья, а также создавать мощные магические артефакты.",UI.CharacterMenu.Description.Alchemy,,,
UI.CharacterMenu.Description.Extra.1.Alchemy,Повышает ваши шансы узнать и использовать сущность предмета,UI.CharacterMenu.Description.Extra.1.Alchemy,,,
UI.CharacterMenu.Description.Extra.2.Alchemy,Открывает доступ к более мощным зельям и артефактам,UI.CharacterMenu.Description.Extra.2.Alchemy,,,
